"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_ZenCommandExecutedSuccessfully","Command executed successfully.","Command executed successfully.","Příkaz byl úspěšně proveden.","Befehl wurde erfolgreich ausgeführt.","Команда успешно выполнена.","Polecenie zostało pomyślnie wykonane.","A parancs sikeresen végrehajtva.","Comando eseguito con successo.","Comando ejecutado correctamente.","Commande exécutée avec succès.","命令已成功执行。","コマンドは正常に実行されました。","Comando executado com sucesso.","命令已成功执行。",
"STR_ZenarchistCoreModSettings","Zenarchist's Settings","Zenarchist's Settings","Zenarchistova nastavení","Zenarchist-Einstellungen","Настройки Zenarchist","Ustawienia Zenarchista","Zenarchist beállításai","Impostazioni di Zenarchist","Ajustes de Zenarchist","Paramètres de Zenarchist","Zenarchist 設定","Zenarchist の設定","Configurações do Zenarchist","Zenarchist 设置",
"STR_ZenarchistCoreModSettings1","Client-side settings for Zenarchist's core mod.","Client-side settings for Zenarchist's core mod.","Nastavení na straně klienta pro jádrový mod Zenarchist.","Clientseitige Einstellungen für Zenarchists Core-Mod.","Клиентские настройки для основного мода Zenarchist.","Ustawienia po stronie klienta dla głównego moda Zenarchist.","Kliensoldali beállítások a Zenarchist alapmodjához.","Impostazioni lato client per il mod principale di Zenarchist.","Ajustes del lado del cliente para el mod principal de Zenarchist.","Paramètres côté client pour le mod principal de Zenarchist.","Zenarchist 核心模組的用戶端設定。","Zenarchist のコアMODのクライアント側設定。","Configurações do lado do cliente para o mod principal do Zenarchist.","Zenarchist 核心模组的客户端设置。",
"STR_ZenarchistCoreModSettings2","Log Files Deletion","Log Files Deletion","Mazání souborů logů","Löschung von Logdateien","Удаление файлов логов","Usuwanie plików logów","Naplófájlok törlése","Eliminazione dei file di log","Eliminación de archivos de registro","Suppression des fichiers journaux","日誌檔案刪除","ログファイル削除","Exclusão de arquivos de log","日志文件删除",
"STR_ZenarchistCoreModSettings3","Never","Never","Nikdy","Nie","Никогда","Nigdy","Soha","Mai","Nunca","Jamais","永不","しない","Nunca","永不",
"STR_ZenarchistCoreModSettings4","1 day","1 day","1 den","1 Tag","1 день","1 dzień","1 nap","1 giorno","1 día","1 jour","1 天","1日","1 dia","1 天",
"STR_ZenarchistCoreModSettings5","7 days","7 days","7 dní","7 Tage","7 дней","7 dni","7 nap","7 giorni","7 días","7 jours","7 天","7日","7 dias","7 天",
"STR_ZenarchistCoreModSettings6","14 days","14 days","14 dní","14 Tage","14 дней","14 dni","14 nap","14 giorni","14 días","14 jours","14 天","14日","14 dias","14 天",
"STR_ZenarchistCoreModSettings7","30 days","30 days","30 dní","30 Tage","30 дней","30 dni","30 nap","30 giorni","30 días","30 jours","30 天","30日","30 dias","30 天",
"STR_ZenarchistCoreModSettings8","How long should client script/crash log files be saved on your PC? These files can take up a lot of disk space over time and are only useful for debugging mods and game errors - if you don't care about that set it to 1 day.","How long should client script/crash log files be saved on your PC? These files can take up a lot of disk space over time and are only useful for debugging mods and game errors - if you don't care about that set it to 1 day.","Jak dlouho mají být na vašem PC ukládány klientské soubory logů skriptů/pádů? Tyto soubory mohou časem zabírat hodně místa na disku a jsou užitečné pouze pro ladění modů a chyb hry – pokud vás to nezajímá, nastavte 1 den.","Wie lange sollen clientseitige Script-/Crash-Logdateien auf deinem PC gespeichert werden? Diese Dateien können im Laufe der Zeit viel Speicherplatz belegen und sind nur zum Debuggen von Mods und Spielfehlern nützlich – wenn dich das nicht interessiert, stelle es auf 1 Tag.","Как долго следует хранить на вашем ПК клиентские файлы логов скриптов/сбоев? Со временем эти файлы могут занимать много места на диске и полезны только для отладки модов и ошибок игры — если вам это не нужно, установите 1 день.","Jak długo pliki logów skryptów/awarii po stronie klienta powinny być przechowywane na twoim PC? Z czasem mogą zajmować dużo miejsca na dysku i są przydatne tylko do debugowania modów i błędów gry — jeśli cię to nie interesuje, ustaw 1 dzień.","Mennyi ideig legyenek elmentve a kliens oldali szkript/összeomlás naplófájlok a PC-den? Ezek a fájlok idővel sok lemezterületet foglalhatnak, és csak a modok és játékhibák hibakereséséhez hasznosak – ha ez nem érdekel, állítsd 1 napra.","Per quanto tempo i file di log di script/crash lato client devono essere salvati sul tuo PC? Con il tempo questi file possono occupare molto spazio su disco e sono utili solo per il debug dei mod e degli errori di gioco: se non ti interessa, impostalo su 1 giorno.","¿Durante cuánto tiempo deberían guardarse en tu PC los archivos de registro de scripts/fallos del cliente? Con el tiempo, estos archivos pueden ocupar mucho espacio en disco y solo sirven para depurar mods y errores del juego; si no te importa, ajústalo a 1 día.","Combien de temps les fichiers journaux de scripts/plantages côté client doivent-ils être conservés sur votre PC ? Ces fichiers peuvent prendre beaucoup d’espace disque avec le temps et ne sont utiles que pour déboguer des mods et des erreurs du jeu ; si cela ne vous intéresse pas, réglez sur 1 jour.","用戶端腳本/崩潰日誌檔應在您的電腦上保存多久？這些檔案隨時間可能會佔用大量磁碟空間，且只在除錯模組與遊戲錯誤時有用；如果您不在意，請將其設為 1 天。","クライアント側のスクリプト/クラッシュログファイルをPCにどれくらい保存しますか？これらのファイルは時間が経つと多くのディスク容量を消費することがあり、MODやゲームエラーのデバッグにしか役立ちません。気にしない場合は「1日」に設定してください。","Por quanto tempo os arquivos de log de script/crash do cliente devem ser mantidos no seu PC? Com o tempo, esses arquivos podem ocupar muito espaço em disco e só são úteis para depurar mods e erros do jogo — se você não se importa com isso, defina como 1 dia.","客户端脚本/崩溃日志文件应在你的电脑上保存多久？这些文件随着时间可能会占用大量磁盘空间，且只对调试模组和游戏错误有用；如果你不在意这些，将其设为 1 天。",
